field,label,grid_x,grid_y,latitude,longitude
A,B1,2,4,43.642766165,4.992487759
A,A3,3,4,43.642852554,4.992452446
A,C1,1,3,43.642705330,4.992642452
A,D2,2,3,43.642791719,4.992607138
A,C2,3,3,43.642878109,4.992571825
A,D3,4,3,43.642964499,4.992536512
A,A1,1,2,43.642730884,4.992761831
A,B2,2,2,43.642817274,4.992726518
A,A2,3,2,43.642903664,4.992691205
A,B3,4,2,43.642990053,4.992655891
A,D1,2,1,43.642842829,4.992845897
A,C3,3,1,43.642929218,4.992810584
A,E1,0,0,43.642695604,4.993035904
A,E2,5,0,43.643127553,4.992859337
A,E3,5,5,43.642999779,4.992262439
A,E4,0,5,43.642567830,4.992439006
B,B1,2,4,43.642599129,4.991651326
B,A3,3,4,43.642686537,4.991621174
B,C1,1,3,43.642533541,4.991802264
B,D2,2,3,43.642620948,4.991772112
B,C2,3,3,43.642708356,4.991741960
B,D3,4,3,43.642795764,4.991711808
B,A1,1,2,43.642555360,4.991923050
B,B2,2,2,43.642642768,4.991892898
B,A2,3,2,43.642730176,4.991862746
B,B3,4,2,43.642817584,4.991832594
B,D1,2,1,43.642664588,4.992013684
B,C3,3,1,43.642751995,4.991983532
B,E1,0,0,43.642511592,4.992194774
B,E2,5,0,43.642948631,4.992044015
B,E3,5,5,43.642839533,4.991440084
B,E4,0,5,43.642402493,4.991590844
